sessie;lot id;gr
2;77;53,8
2;45;47,6
2;43;41,1
2;78;43,2
2;80;41,4
2;47;38,3
2;51;55,7
2;49;50,1
2;81;61
2;13;42,8
2;62;50,1
2;79;51,3
2;94;59,1
2;98;34,6
2;64;53,2
2;44;49,4
2;46;37,8
2;;58
2;50;47
2;48;31,1
2;26;46,9
2;87;62,2
2;92;31,8
2;90;72,7
2;86;52,1
2;88;41,6
2;15;63,5
2;29;37,5
2;33;58,4
2;11;55,5
2;14;40,7
2;96;35,3
2;97;40,7
2;93;34
2;100;46
2;89;47,3
2;37;29,9
2;39;31,1
2;36;42,7
2;38;40
2;40;42,6
2;42;27,1
2;82;41,7
2;84;38,7
2;85;92,8
2;83;46,6
2;52;60,8
2;1;49,1
2;19;53,1
2;17;53,6
2;12;35,7
2;23;40
2;18;53,4
2;20;29
2;41;32,4
2;;46,7
2;16;42,3
2;5;33,4
2;4;44,3
2;7;44,6
2;9;28,6
2;74;44,8
2;65;33,1
2;76;51,4
2;28;43,1
2;35;58,5
2;60;38,9
2;;40
2;31;32
2;2;42,6
2;3;47,7
2;6;46,3
2;8;21,8
2;10;35,2
2;75;45,1
2;63;50,1
2;;55
2;30;57,4
2;32;21,3
2;34;43,5
2;21;39,9
2;53;34,8
2;54;76,4
2;91;61,5
2;66;53,7
2;68;55,1
2;55;50,6
2;57;54,6
2;56;72,2
2;58;50,8
2;59;46,8
2;69;34,4
2;95;28,8
2;70;39,4
2;72;52,9
2;67;28,2
2;71;26,8
2;73;38,3
